R_EX_4abut_e	1
R_EX_5aptn_e	1
R_EX_ac_e	1
R_EX_acetone_e	1
R_EX_co2_e	1
R_EX_fru_e	-1
R_EX_glc__D_e	-1
R_EX_glc__bD_e	-1
R_EX_mnl_e	-1
R_EX_sbt__D_e	-1
R_EX_sbt__L_e	-1
R_EX_malthx_e	-1
R_EX_malttr_e	-1
R_EX_maltttr_e	-1
R_EX_starch_e	-1
R_EX_etoh_e	1
R_EX_h2_e	1
R_EX_ala__D_e	-1
R_EX_ala__L_e	-1
R_EX_arg__L_e	-1
R_EX_CE1787_e	-1
R_EX_CE5868_e	-1
R_EX_asp__D_e	-1
R_EX_asp__L_e	-1
R_EX_gly_e	-1
R_EX_his__L_e	-1
R_EX_ile__L_e	-1
R_EX_leu__L_e	-1
R_EX_met__D_e	-1
R_EX_met__L_e	-1
R_EX_phe__L_e	-1
R_EX_pro__L_e	-1
R_EX_ser__D_e	-1
R_EX_ser__L_e	-1
R_EX_thr__L_e	-1
R_EX_trp__L_e	-1
R_EX_tyr__L_e	-1
R_EX_val__L_e	-1
R_EX_acnam_e	-1
R_EX_nh3_e	1
R_EX_nh4_e	1
R_EX_pnto__R_e	-1
R_EX_raffin_e	-1
R_EX_stchs_e	-1
R_EX_stys_e	-1
R_EX_tchola_e	-1
R_EX_urea_e	-1
R_EX_4crsol_e	1
