R_EX_ac_e	1
R_EX_btn_e	-1
R_EX_co2_e	1
R_EX_fru_e	-1
R_EX_mnl_e	-1
R_EX_etoh_e	1
R_EX_h2o2_e	1
R_EX_arg__L_e	-1
R_EX_CE1787_e	-1
R_EX_CE5868_e	-1
R_EX_asp__D_e	-1
R_EX_asp__L_e	-1
R_EX_glu__D_e	-1
R_EX_glu__L_e	-1
R_EX_gly_e	-1
R_EX_his__L_e	-1
R_EX_ile__L_e	-1
R_EX_lac__D_e	1
R_EX_lac__L_e	1
R_EX_leu__L_e	-1
R_EX_lys__D_e	-1
R_EX_lys__L_e	-1
R_EX_met__D_e	-1
R_EX_met__L_e	-1
R_EX_phe__L_e	-1
R_EX_tyr__L_e	-1
R_EX_val__L_e	-1
R_EX_lcts_e	-1
R_EX_nh3_e	1
R_EX_nh4_e	1
R_EX_nac_e	-1
R_EX_ncam_e	-1
R_EX_pnto__R_e	-1
R_EX_ribflv_e	-1
R_EX_thm_e	-1
