id	name	phenotype	bigg_id
BG13988	pucE	non-essential	BSU32470
BG13989	pucD	non-essential	BSU32480
BG13990	pucC	non-essential	BSU32490
BG13991	pucB	non-essential	BSU32500
BG13992	pucA	non-essential	BSU32510
BG11937	fmt	essential	BSU15730
BG10849	katA	non-essential	BSU08820
BG11102	katE	non-essential	BSU39050
BG11940	gbsA	non-essential	BSU31060
BG11941	gbsB	non-essential	BSU31050
BG11945	katX	non-essential	BSU38630
BG10781	spoVFA	non-essential	BSU16730
BG10782	spoVFB	non-essential	BSU16740
BG11016	penP	non-essential	BSU18800
BG11507	ybxI	non-essential	BSU02090
BG11530	bsaA	non-essential	BSU21900
BG11676	sodA	non-essential	BSU25020
BG11885	yxeI	non-essential	BSU39540
BG10014	ppaC	essential	BSU40550
BG10183	phoA	non-essential	BSU09410
BG10658	ssuD	non-essential	BSU08860
BG10697	phoB	non-essential	BSU05740
BG14099	yvgQ	non-essential	
BG14100	yvgR	non-essential	
BG13378	sat	non-essential	BSU15590
BG12344	mrpF	essential	BSU31650
BG12345	mrpD	essential	BSU31630
BG12355	mrpA	essential	BSU31600
BG12356	mrpB	essential	BSU31610
BG12357	mrpC	essential	BSU31620
BG10186	glpF	non-essential	BSU09280
BG10198	ptsG	non-essential	BSU13890
BG10200	ptsH	non-essential	BSU13900
BG10201	ptsI	non-essential	BSU13910
BG10316	levD	non-essential	BSU27070
BG10317	levE	non-essential	BSU27060
BG10318	levF	non-essential	BSU27050
BG10319	levG	non-essential	BSU27040
BG10562	ywbA	non-essential	BSU38390
BG10573	ywbL	non-essential	
BG10574	ywbM	non-essential	
BG10575	ywbN	non-essential	
BG10577	ywcA	non-essential	BSU38240
BG10594	ywcJ	non-essential	BSU38060
BG10595	sacP	non-essential	BSU38050
BG10645	glpT	non-essential	BSU02140
BG10650	gntP	non-essential	BSU40070
BG10656	ssuA	non-essential	BSU08840
BG10657	ssuC	non-essential	BSU08850
BG10835	feuA	non-essential	BSU01630
BG10836	feuB	non-essential	BSU01620
BG10837	feuC	non-essential	BSU01610
BG10843	dppB	non-essential	BSU12930
BG10844	dppC	non-essential	BSU12940
BG10845	dppD	non-essential	BSU12950
BG10846	dppE	non-essential	BSU12960
BG10869	nrgA	non-essential	
BG10905	blt	non-essential	BSU26590
BG10933	rocE	non-essential	BSU40330
BG10934	bglP	non-essential	BSU39270
BG10984	nupC	non-essential	BSU39410
BG10991	ykqB	non-essential	
BG10992	pyrP	non-essential	BSU15480
BG11009	treP	non-essential	BSU07800
BG11014	gamP	non-essential	BSU02350
BG11075	yqxL	non-essential	BSU24740
BG11080	pbuX	non-essential	BSU22060
BG11093	nasA	non-essential	BSU03330
BG11101	hutM	non-essential	BSU39390
BG11122	iolF	non-essential	BSU39710
BG11146	citH	non-essential	BSU39060
BG11150	yxjA	non-essential	
BG11160	ycbE	non-essential	
BG11185	yckI	non-essential	
BG11186	yckJ	non-essential	
BG11187	yckK	non-essential	
BG11215	mtlA	non-essential	BSU03981
BG11328	gabP	non-essential	BSU06310
BG11338	natA	non-essential	BSU02750
BG11339	natB	non-essential	BSU02760
BG11342	narK	non-essential	BSU37320
BG11348	licC	non-essential	BSU38580
BG11371	opuAB	non-essential	BSU02990
BG11372	opuAC	non-essential	BSU03000
BG11375	pstS	non-essential	BSU24990
BG11376	pstC	non-essential	BSU24980
BG11377	pstA	non-essential	BSU24970
BG11378	pstBA	non-essential	BSU24960
BG11379	pstBB	non-essential	BSU24950
BG11399	kdgT	non-essential	BSU22090
BG11562	ybaR	non-essential	BSU01580
BG11567	ybbF	non-essential	BSU01680
BG11590	yhcL	non-essential	
BG11647	yqeW	non-essential	BSU25420
BG11727	yqiX	non-essential	
BG11728	yqiY	non-essential	
BG11729	yqiZ	non-essential	
BG11763	mleN	non-essential	BSU23560
BG11798	alsT	non-essential	BSU18120
BG11832	citM	non-essential	BSU07610
BG11848	malP	non-essential	BSU08200
BG11875	yvfH	non-essential	BSU34190
BG11878	yxeB	non-essential	BSU39610
BG11894	yxeR	non-essential	BSU39450
BG11907	araE	non-essential	BSU33960
BG11910	araN	non-essential	BSU28750
BG11911	araP	non-essential	BSU28740
BG11912	araQ	non-essential	BSU28730
BG11915	azlC	non-essential	BSU26710
BG11916	azlD	non-essential	BSU26700
BG11918	brnQ	non-essential	BSU26690
BG11931	czcD	non-essential	BSU26650
BG11938	fruA	non-essential	BSU14400
BG11958	opuD	non-essential	BSU30070
BG11980	trkA	non-essential	
BG12001	lctP	non-essential	BSU03060
BG12002	mdr	non-essential	BSU03070
BG12013	ycgO	non-essential	
BG12034	yclN	non-essential	BSU03800
BG12035	yclO	non-essential	BSU03810
BG12036	yclP	non-essential	BSU03820
BG12037	yclQ	non-essential	BSU03830
BG12046	ycnJ	non-essential	BSU03950
BG12065	mntH	non-essential	BSU04360
BG12075	dctP	non-essential	BSU04470
